City_ID,City,Country,Max Temp,City Weather Description,Lat,Lng,Hotel Name
122,Vaini,TO,80.76,broken clouds,-21.2,-175.2,Keleti International Resort
123,Saint-Philippe,RE,74.79,scattered clouds,-21.3585,55.7679,Le Baril
130,Kourou,GF,82.45,overcast clouds,5.1552,-52.6478,SCI Horizon
140,Birnin Kebbi,NG,77.02,clear sky,12.4539,4.1975,Fab Hotel
143,Galle,LK,76.95,overcast clouds,6.0367,80.217,Jungle Hostel Villa
144,Chuy,UY,75.52,few clouds,-33.6971,-53.4616,Alerces
145,Barreirinhas,BR,83.41,scattered clouds,-2.7469,-42.8264,Pousada Matriz
149,Sinnamary,GF,78.6,broken clouds,5.3833,-52.95,Hôtel du fleuve
155,Mitsamiouli,KM,78.58,clear sky,-11.3847,43.2844,Hotel le Paradis
157,Tahoua,NE,80.58,clear sky,14.8888,5.2692,Hotel Bungalow
158,Sao Jose Da Coroa Grande,BR,77.31,overcast clouds,-8.8978,-35.1478,Hotel do Sol
163,Sechura,PE,75.92,few clouds,-5.5569,-80.8222,Hospedaje Claritza
167,Manakara,MG,73.08,light rain,-22.1333,48.0167,Hotel H1
168,Borazjan,IR,72.88,few clouds,29.2666,51.2159,معلی
170,Cidreira,BR,71.73,overcast clouds,-30.1811,-50.2056,Hotel Castelo
173,Amuntai,ID,73.85,light rain,-2.4177,115.2494,Grand Balqis Hotel
176,Luanda,AO,78.8,scattered clouds,-8.8368,13.2343,Hotel Forum
183,Diego De Almagro,CL,74.12,clear sky,-26.3667,-70.05,Residencial Hambyll
192,Makanya,TZ,72.39,overcast clouds,-4.3667,37.8333,Mchome
204,Mazatlan,MX,85.96,few clouds,23.2167,-106.4167,Mona Inn
207,Aswan,EG,70.9,clear sky,24.0934,32.907,Yaseen hotel
209,Huarmey,PE,72.01,broken clouds,-10.0681,-78.1522,Hostal Santa Rosa
