City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,City Weather Description
254,Thouars,FR,46.976,-0.2151,42.21,90,0,7.74,clear sky
255,Dongsheng,CN,39.8161,109.9776,5.56,20,0,10.11,clear sky
256,Loreto,MX,22.2667,-101.9667,73.74,29,33,18.57,scattered clouds
257,Manhattan,US,40.7834,-73.9662,58.66,90,100,26.46,mist
258,Magaria,NE,12.9983,8.9099,70.57,21,4,6.98,clear sky
259,Ridgecrest,US,35.6225,-117.6709,54.64,28,0,1.99,clear sky
260,Montepuez,MZ,-13.1256,38.9997,73.89,67,68,7.29,broken clouds
261,Pringsewu,ID,-5.3582,104.9744,74.08,89,100,5.28,overcast clouds
262,Ilulissat,GL,69.2167,-51.1,24.82,80,75,25.32,light snow
263,Caetite,BR,-14.0694,-42.475,74.16,75,100,6.87,overcast clouds
264,Aksarka,RU,66.5606,67.7975,-8.32,99,7,3.15,clear sky
265,Margate,GB,51.3813,1.3862,48.69,89,83,3.0,broken clouds
266,Eydhafushi,MV,5.1033,73.0708,80.94,67,83,3.6,broken clouds
267,San Nicolas,PH,18.1725,120.5953,79.0,81,39,11.86,scattered clouds
268,Yulara,AU,-25.2406,130.9889,67.87,25,0,8.32,clear sky
269,Bodden Town,KY,19.2833,-81.25,86.99,65,20,11.5,few clouds
270,Bitung,ID,1.4451,125.1824,74.25,85,100,7.07,overcast clouds
271,Boyolangu,ID,-8.1181,111.8935,74.82,86,98,5.41,overcast clouds
272,Solok,ID,-0.7918,100.6593,71.06,99,100,0.6,light rain
273,Kaeo,NZ,-35.1,173.7833,61.32,87,41,10.09,scattered clouds
274,Lixourion,GR,38.2019,20.4314,57.38,94,100,5.59,overcast clouds
275,Brae,GB,60.3964,-1.353,48.16,83,99,20.56,overcast clouds
276,Beringovskiy,RU,63.05,179.3167,24.94,97,100,7.7,overcast clouds
277,Russell,US,32.3502,-85.1999,72.68,68,0,3.44,clear sky
278,Chanika,TZ,-5.4167,38.0167,68.4,95,95,4.9,overcast clouds
279,Ambon,ID,-3.6954,128.1814,78.24,15,40,5.75,scattered clouds
280,Tura,IN,25.5198,90.2201,61.63,87,2,3.49,clear sky
281,Nemuro,JP,43.3236,145.575,30.24,58,2,22.73,clear sky
282,Cabedelo,BR,-6.9811,-34.8339,83.07,67,96,11.23,overcast clouds
283,Amga,RU,60.8953,131.9608,-20.06,96,100,5.93,overcast clouds
284,Broken Hill,AU,-31.95,141.4333,60.46,47,1,13.09,clear sky
285,Miles City,US,46.4083,-105.8406,20.37,63,0,8.05,clear sky
286,Key West,US,24.5557,-81.7826,91.4,77,20,9.22,few clouds
287,Meulaboh,ID,4.1363,96.1285,75.61,89,100,3.09,overcast clouds
288,Salalah,OM,17.0151,54.0924,78.89,78,75,4.61,broken clouds
289,Sovetskiy,RU,61.3614,63.5842,2.57,95,100,2.59,overcast clouds
290,Saint-Pierre,RE,-21.3393,55.4781,74.91,73,91,4.61,overcast clouds
291,Kruisfontein,ZA,-34.0033,24.7314,66.88,81,2,6.78,clear sky
292,Khani,GE,41.9563,42.9566,47.77,78,19,5.7,few clouds
293,Hovd,MN,48.0056,91.6419,-3.41,77,100,2.28,overcast clouds
294,Fredericksburg,US,38.3032,-77.4605,60.44,86,100,12.66,overcast clouds
295,Luau,AO,-10.7073,22.2247,63.28,97,77,3.15,moderate rain
296,Gasa,PS,31.5,34.4667,64.9,69,0,6.46,clear sky
297,Cockburn Town,TC,21.4612,-71.1419,80.51,71,0,18.77,clear sky
298,Wichian Buri,TH,15.6578,101.106,78.35,84,98,2.19,moderate rain
299,The Valley,AI,18.217,-63.0578,84.81,69,40,12.66,scattered clouds
300,Mehamn,NO,71.0357,27.8492,33.75,93,75,6.91,broken clouds
301,Saskylakh,RU,71.9167,114.0833,-30.17,100,100,7.0,overcast clouds
302,Codajas,BR,-3.8367,-62.0569,89.62,56,100,2.15,overcast clouds
303,Seymchan,RU,62.8833,152.4333,-18.62,95,100,7.47,overcast clouds
304,Uray,RU,60.1247,64.7758,2.34,98,100,2.91,overcast clouds
305,Karratha,AU,-20.7377,116.8463,81.21,56,97,9.01,light rain
306,Ongandjera,NA,-17.8833,15.0667,90.91,18,60,9.28,broken clouds
307,Ryotsu,JP,38.0833,138.4333,38.32,89,100,10.29,overcast clouds
308,Lahaina,US,20.8783,-156.6825,80.94,86,64,8.52,broken clouds
309,Clarence Town,AU,-32.5833,151.7833,65.86,73,100,2.06,overcast clouds
310,Egvekinot,RU,66.3167,-179.1667,9.88,84,15,5.64,few clouds
311,Nantucket,US,41.2835,-70.0995,55.51,93,20,20.71,few clouds
312,Pontalina,BR,-17.525,-49.4472,79.86,53,84,5.79,broken clouds
313,Aripuana,BR,-9.1667,-60.6333,89.85,47,83,4.36,broken clouds
314,Midleton,IE,51.9153,-8.1805,51.58,92,100,11.25,overcast clouds
315,Cherskiy,RU,68.75,161.3,-1.52,92,100,3.42,overcast clouds
316,Weihai,CN,37.5017,122.1136,34.99,54,100,19.1,overcast clouds
317,Chimoio,MZ,-19.1164,33.4833,69.66,68,75,5.99,broken clouds
318,Galveston,US,29.3669,-94.9669,66.09,50,0,19.57,clear sky
319,Bowen,AU,-20.0167,148.2333,71.29,87,100,9.98,overcast clouds
320,Labuhan,ID,-6.8844,112.2051,76.64,86,100,10.38,overcast clouds
321,Kamphaeng Phet,TH,16.25,99.5,74.57,88,100,5.03,heavy intensity rain
322,Sawakin,SD,19.1059,37.3321,82.0,75,39,11.01,scattered clouds
323,Tarko-Sale,RU,64.9225,77.785,-11.83,97,18,6.64,few clouds
324,Ozernovskiy,RU,51.5,156.5167,29.44,88,100,14.74,light snow
325,Pevek,RU,69.7008,170.3133,-1.23,94,100,5.3,overcast clouds
326,Yar-Sale,RU,66.8333,70.8333,-9.81,100,34,4.21,scattered clouds
327,Igarka,RU,67.4667,86.5833,4.44,94,100,14.12,overcast clouds
328,Kunya,NG,12.2233,8.5325,71.76,49,0,0.0,clear sky
329,Vicuna,CL,-30.0319,-70.7081,77.77,46,1,11.21,clear sky
330,Chengde,CN,40.9725,117.9361,12.67,36,0,9.46,clear sky
331,Vestmannaeyjar,IS,63.4427,-20.2734,47.84,84,100,19.01,overcast clouds
332,Anadyr,RU,64.75,177.4833,21.7,100,0,2.24,clear sky
333,Luena,AO,-11.7833,19.9167,62.51,95,95,2.21,overcast clouds
334,Sur,OM,22.5667,59.5289,74.84,54,99,2.82,overcast clouds
335,Vao,NC,-22.6667,167.4833,77.4,85,97,6.89,overcast clouds
336,Sarai Naurang,PK,32.8259,70.7814,62.46,27,4,1.95,clear sky
337,Bansgaon,IN,26.5586,83.3481,61.65,56,0,5.55,clear sky
338,La Reforma,MX,25.0833,-108.05,82.13,35,0,8.95,clear sky
339,Kapuskasing,CA,49.4169,-82.4331,30.2,69,100,24.16,overcast clouds
340,Williston,US,48.147,-103.618,12.94,85,30,5.03,scattered clouds
341,Bengkulu,ID,-3.8004,102.2655,74.52,88,100,3.76,overcast clouds
342,Pokhara,NP,28.2333,83.9833,58.68,42,0,5.01,clear sky
343,Rawson,AR,-43.3002,-65.1023,67.55,46,48,21.36,scattered clouds
344,Dabat,ET,12.9842,37.765,59.18,37,61,3.22,broken clouds
345,Bonfim,BR,3.0833,-59.95,87.82,56,70,6.96,broken clouds
